adl_id,date,city,state,description
12123,11/28/19,Bryn Mawr,PA,"New Jersey European Heritage Association, an alt right group, posted fliers in an alley that read: ""Reclaim your nation reclaim your heritage"" and ""Remember the USS Liberty."""
10658,11/21/19,Isla Vista,CA,"Feuerkrieg Division, a neo-Nazi group, posted propaganda at University of California Santa Barbara that read: ""Screw your optics join the Feuerkrieg Division,"" ""Men against time Feuerkrieg Division,"" ""Take pigs to the slaughter house,"" ""This time the world,"" and ""Strew the streets with the bodies of bureaucrats."""
10663,11/20/19,Bordentown,NJ,"New Jersey European Heritage Association, an alt right group, distributed fliers that read: ""Stop the invasion caravan defend America,"" ""Troops to the border now,"" ""Troops to the border,"" ""No communism in America,"" and ""Demand a real investigation of USS Liberty attack June 8th 1967 Israeli sneak attack against Americans!"""
10667,11/19/19,Greenwich,CT,"New Jersey European Heritage Association, an alt right group, distributed propaganda that read: ""No communism in America,"" ""Remember the USS Liberty 1967 Israeli attack against America,"" ""Don't believe (((FAKE))) news,"" and ""Deport all 20 million illegal aliens."""
10686,11/18/19,New Brunswick,NJ,"New Jersey European Heritage Association, an alt right group, distributed fliers that read: ""Reclaim your nation reclaim your heritage,"" ""Duty calls,"" ""Arrest sanctuary mayors,"" and ""Demand a real investigation of USS Liberty attack June 8th 1967 Israeli sneak attack against Americans!"""
10688,11/18/19,Tontitown,AR,"New Jersey European Heritage Association, an alt right group, distributed stickers that read: ""No more wars for Israel,"" ""Reclaim your nation reclaim your heritage,"" ""Defend the second amendment,"" and ""No sanctuary state."""
12083,11/15/19,Bloomingdale,NJ,Anti-Semitic conspiratorial fliers were posted on utility poles.
10732,11/13/19,Philadelphia,PA,"New Jersey European Heritage Association, an alt right group, distributed fliers at the University of Pennsylvania that read: ""Demand a real investigation of USS Liberty attack June 8th 1967 Israeli sneak attack against Americans,"" ""No communism in America,"" ""Nationalism not globalism,"" and ""Troops to the border."""
10733,11/13/19,Philadelphia,PA,"New Jersey European Heritage Association, an alt right group, distributed propaganda that read: ""Stop drag queen story hour,"" ""Demand a real investigation of USS Liberty attack June 8th 1967 Israeli sneak attack against Americans,"" ""Don't believe (((FAKE))) news,"" and ""No more wars for Israel."""
10734,11/13/19,Piscataway,NJ,"New Jersey European Heritage Association, an alt right group, distributed fliers that read: ""Reclaim your nation reclaim your heritage,"" ""Import the third world become the third world,"" ""Deport all 20 million illegal aliens,"" and ""Demand a real investigation of USS Liberty attack June 8th 1967 Israeli sneak attack against Americans!"""
10736,11/12/19,Gainesville,FL,"New Jersey European Heritage Association, an alt right group, distributed fliers at the University of Florida during a Turning Point USA Culture Wars event."
10740,11/10/19,New York,NY,"An unknown person or group painted graffiti featuring two swastikas, Nazi SS lightning bolts, ""Kill all Jews,"" and ""www.hitlerwasright.com"" were found written on the wall of the NYC Transit W103 station."
10753,11/9/19,Stony Brook,NY,"New Jersey European Heritage Association, an alt right group, distributed fliers that read: ""Anti-racist is code for anti-white,"" ""No communism in America,"" ""A country for everyone is a country for no one,"" ""Duty calls,"" and ""Remember the USS Liberty June 8th 1967 Israeli sneak attack against Americans."""
10775,11/4/19,Princeton,NJ,"New Jersey European Heritage Association, an alt right group, distributed fliers at Princeton University that read: ""Reclaim your nation reclaim your heritage,"" ""Stop invasion caravan defend America troops to the border now,"" ""Duty Calls,"" and ""Demand a real investigation of USS Liberty attack June 8th 1967 Israeli sneak attack against Americans!"""
10776,11/4/19,Tempe,AZ,"Folks Front, a white supremacist, distributed propaganda at Arizona State University that read: ""Love not hate"" with the ""o"" in Love depicted as a swastika and the ""a"" in hate depicted as a Jewish star."
